Temperature (°C),Humidity (%),Light Intensity (0-250),Rain Probability (%),Description
21.5,90,25,90,"Overcast with thick, dark clouds (low light due to heavy cloud cover)."
20,88,30,92,Continuous moderate rain expected throughout the day (monsoon spell).
22.7,78,20,95,"Dense cloud cover with occasional light drizzle, transitioning to heavier rain later (monsoon front approaching)."
23.2,82,35,93,"Overcast with patchy fog in the morning, clearing to continuous light rain (monsoon trough passage)."
19.8,77,22,91,"Low clouds and drizzle throughout the day, heavier showers possible in the evening."
24.1,80,28,94,"Dense cloud cover with strong winds, possibility of isolated thunderstorms (monsoon depression weakening)."
20.5,85,20,96,"Overcast with thick cloud cover, continuous moderate to heavy rain expected."
22,79,32,92,"Dense fog in the morning, clearing to light rain and drizzle throughout the day."
19.3,76,25,90,"Low clouds and consistent drizzle, with a chance of heavier showers in the afternoon."
23.8,83,30,95,"Dense cloud cover with strong winds and lightning, potential for thunderstorms (monsoon depression intensifying)."
25.4,84,33,91,"Partly cloudy with thick, dark clouds forming in the afternoon, leading to heavy rain (pre-monsoon squall)."
21.9,79,27,93,"Overcast with patchy fog in the morning, transitioning to continuous moderate rain throughout the day."
20.7,81,20,95,"Dense cloud cover with strong winds and persistent drizzle, possibility of thunderstorms later (monsoon depression)."
24.3,78,30,92,"Overcast with low visibility due to heavy rain, potential for flash floods in low-lying areas."
18.5,76,25,90,"Low clouds and consistent drizzle throughout the day, with a chance of heavier showers in the evening (monsoon retreat phase)."
22.6,82,32,94,"Dense cloud cover with occasional bursts of heavy rain, interspersed with lighter showers."
20.1,80,28,96,"Overcast with thick cloud cover, continuous downpour expected, possibility of power outages."
23.5,77,22,90,"Low clouds and consistent drizzle, with a chance of brief sunshine breaks offering temporary respite."
19,79,30,92,"Dense cloud cover with strong winds, possibility of hailstorms in high-altitude regions (monsoon trough passage)."
21.2,83,25,95,"Overcast with thick cloud cover, continuous moderate rain expected, accompanied by strong winds."
26.7,72,80,75,"Partly cloudy with thick clouds forming in the afternoon, leading to isolated showers."
23.4,80,70,68,"Cloudy with sunny spells (light filtering through clouds), scattered showers possible throughout the day."
21.1,85,60,72,"Overcast with occasional light drizzle, possibility of heavier showers with lower light intensity (denser clouds) in the evening."
25,68,100,60,"Partly cloudy with clear skies in between, isolated showers possible (monsoon lull)."
22.3,78,80,78,"Cloudy with occasional sunny spells (filtered sunlight), chance of light to moderate rain reducing light intensity throughout the day."
27.9,70,90,65,"Partly cloudy with thick clouds forming in the afternoon, leading to a chance of scattered showers (potentially reducing light intensity)."
20.8,82,70,70,"Overcast with minimal sunny spells, chance of light rain reducing light intensity throughout the day."
24.2,65,80,62,"Partly cloudy with clear skies in between, isolated showers possible in the afternoon (monsoon lull)."
21.7,75,90,75,"Cloudy with sunny spells (filtered sunlight), scattered showers possible, heavier showers possible in the evening (reducing light intensity)."
26.4,73,70,68,"Partly cloudy with thick clouds forming in the afternoon, leading to isolated showers (potentially reducing light intensity)."
28.2,60,100,55,"Partly cloudy with clear skies dominating, isolated showers possible in the late afternoon (monsoon lull)."
24.9,70,120,62,"Mostly sunny with some patchy clouds, very low chance of brief drizzle."
22.6,75,80,68,"Partly cloudy with variable cloud cover, isolated showers possible (uneven distribution)."
26.5,55,120,50,"Mostly clear skies, very low chance of rain (extended monsoon lull)."
